key,fare_amount
2015-01-27 13:08:24.0000002,7.394042
2015-01-27 13:08:24.0000003,7.985307
2011-10-08 11:53:44.0000002,6.1905046
2012-12-01 21:12:12.0000002,8.019666
2012-12-01 21:12:12.0000003,16.24084
2012-12-01 21:12:12.0000005,8.510441
2011-10-06 12:10:20.0000001,5.7270794
2011-10-06 12:10:20.0000003,53.581856
2011-10-06 12:10:20.0000002,12.961425
2014-02-18 15:22:20.0000002,6.9802313
2014-02-18 15:22:20.0000003,8.381803
2014-02-18 15:22:20.0000001,15.223873
2010-03-29 20:20:32.0000002,5.9555855
2010-03-29 20:20:32.0000001,7.4006095
2011-10-06 03:59:12.0000002,8.849204
2011-10-06 03:59:12.0000001,12.757412
2012-07-15 16:45:04.0000006,5.6467094
2012-07-15 16:45:04.0000002,9.378002
2012-07-15 16:45:04.0000003,6.160167
2012-07-15 16:45:04.0000004,6.321595
2014-10-29 02:09:56.0000001,8.620566
2014-06-14 13:39:00.00000010,7.4351015
2014-06-14 13:39:00.00000060,6.78171
2014-06-14 13:39:00.00000087,6.298302
2014-06-14 13:39:00.00000050,14.90245
2014-06-14 13:39:00.0000003,6.194006
2014-06-14 13:39:00.000000158,38.626396
2014-06-14 13:39:00.00000015,20.604837
2014-06-14 13:39:00.00000073,5.9488683
2014-06-14 13:39:00.00000077,13.668056
2014-06-14 13:39:00.000000145,8.57501
2014-06-14 13:39:00.00000079,6.39532
2014-06-14 13:39:00.000000121,5.111714
2014-06-14 13:39:00.00000021,9.80242
2014-06-14 13:39:00.0000005,7.6970143
2014-06-14 13:39:00.000000165,6.583353
2014-06-14 13:39:00.000000184,6.4944806
2014-06-14 13:39:00.00000059,6.0497303
2014-06-14 13:39:00.00000070,7.9234514
2014-06-14 13:39:00.00000068,5.725048
2014-06-14 13:39:00.000000133,15.637334
2014-06-14 13:39:00.000000128,7.6995115
2014-06-14 13:39:00.000000136,18.04805
2014-06-14 13:39:00.00000017,9.42003
2014-06-14 13:39:00.000000111,6.2675834
2014-06-14 13:39:00.000000115,10.787693
2014-06-14 13:39:00.000000168,6.2289977
2014-06-14 13:39:00.00000031,7.422136
2014-06-14 13:39:00.000000116,5.820897
2014-06-14 13:39:00.00000051,5.765277
2014-06-14 13:39:00.000000193,10.168511
2014-06-14 13:39:00.000000132,12.33135
2014-06-14 13:39:00.000000167,17.849564
2014-06-14 13:39:00.00000044,6.0277452
2014-06-14 13:39:00.000000138,7.670362
2014-06-14 13:39:00.00000066,14.4278
2014-06-14 13:39:00.00000063,9.392683
